Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20200611T220748_20200611T220814_032975_03D1CD_4405,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200611T220748_20200611T220814_032975_03D1CD_4405.zip,-106,S1A_IW_SLC__1SDV_20200623T220748_20200623T220815_033150_03D722_E41D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200623T220748_20200623T220815_033150_03D722_E41D.zip,-91,12
S1A_IW_SLC__1SDV_20200810T220751_20200810T220818_033850_03ECDA_1253,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200810T220751_20200810T220818_033850_03ECDA_1253.zip,-47,S1A_IW_SLC__1SDV_20200822T220752_20200822T220819_034025_03F303_6E20,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200822T220752_20200822T220819_034025_03F303_6E20.zip,-95,12
S1A_IW_SLC__1SDV_20200822T220752_20200822T220819_034025_03F303_6E20,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200822T220752_20200822T220819_034025_03F303_6E20.zip,-95,S1A_IW_SLC__1SDV_20200903T220752_20200903T220819_034200_03F929_DDA5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200903T220752_20200903T220819_034200_03F929_DDA5.zip,-113,12
S1A_IW_SLC__1SDV_20200903T220752_20200903T220819_034200_03F929_DDA5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200903T220752_20200903T220819_034200_03F929_DDA5.zip,-113,S1A_IW_SLC__1SDV_20200915T220753_20200915T220820_034375_03FF55_DD94,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200915T220753_20200915T220820_034375_03FF55_DD94.zip,-90,12
S1A_IW_SLC__1SDV_20200915T220753_20200915T220820_034375_03FF55_DD94,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200915T220753_20200915T220820_034375_03FF55_DD94.zip,-90,S1A_IW_SLC__1SDV_20200927T220753_20200927T220820_034550_040584_F8ED,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200927T220753_20200927T220820_034550_040584_F8ED.zip,-54,12
S1A_IW_SLC__1SDV_20200927T220753_20200927T220820_034550_040584_F8ED,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200927T220753_20200927T220820_034550_040584_F8ED.zip,-54,S1A_IW_SLC__1SDV_20201009T220753_20201009T220820_034725_040BA3_93B8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201009T220753_20201009T220820_034725_040BA3_93B8.zip,26,12
S1A_IW_SLC__1SDV_20201009T220753_20201009T220820_034725_040BA3_93B8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201009T220753_20201009T220820_034725_040BA3_93B8.zip,26,S1A_IW_SLC__1SDV_20201021T220753_20201021T220820_034900_0411BA_EB2A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201021T220753_20201021T220820_034900_0411BA_EB2A.zip,-84,12
S1A_IW_SLC__1SDV_20201021T220753_20201021T220820_034900_0411BA_EB2A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201021T220753_20201021T220820_034900_0411BA_EB2A.zip,-84,S1A_IW_SLC__1SDV_20201102T220753_20201102T220820_035075_0417BD_0842,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201102T220753_20201102T220820_035075_0417BD_0842.zip,-77,12
S1A_IW_SLC__1SDV_20201102T220753_20201102T220820_035075_0417BD_0842,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201102T220753_20201102T220820_035075_0417BD_0842.zip,-77,S1A_IW_SLC__1SDV_20201114T220753_20201114T220820_035250_041DDC_F8B0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201114T220753_20201114T220820_035250_041DDC_F8B0.zip,-87,12
S1A_IW_SLC__1SDV_20201114T220753_20201114T220820_035250_041DDC_F8B0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201114T220753_20201114T220820_035250_041DDC_F8B0.zip,-87,S1A_IW_SLC__1SDV_20201126T220753_20201126T220820_035425_0423E1_59D3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201126T220753_20201126T220820_035425_0423E1_59D3.zip,-191,12
S1A_IW_SLC__1SDV_20201126T220753_20201126T220820_035425_0423E1_59D3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201126T220753_20201126T220820_035425_0423E1_59D3.zip,-191,S1A_IW_SLC__1SDV_20201208T220752_20201208T220819_035600_0429F2_F201,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201208T220752_20201208T220819_035600_0429F2_F201.zip,-75,12
S1A_IW_SLC__1SDV_20201208T220752_20201208T220819_035600_0429F2_F201,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201208T220752_20201208T220819_035600_0429F2_F201.zip,-75,S1A_IW_SLC__1SDV_20201220T220752_20201220T220819_035775_042FF2_CDA3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201220T220752_20201220T220819_035775_042FF2_CDA3.zip,-44,12
S1A_IW_SLC__1SDV_20201220T220752_20201220T220819_035775_042FF2_CDA3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201220T220752_20201220T220819_035775_042FF2_CDA3.zip,-44,S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0.zip,-50,12
S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0.zip,-50,S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807.zip,-75,12
